temp,clouds_all,sunday,monday,tuesday,wednesday,thursday,friday,saturday,is_holiday,afternoon,early_morning,evening,late_morning,morning,night,is_winter,traffic_volume
288.28,40,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5545
289.36,75,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4516
289.58,90,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4767
290.13,90,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5026
291.14,75,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4918
291.72,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5181
293.17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5584
293.86,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6015
294.14,20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5791
293.1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4770
290.97,20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3539
289.38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2784
288.61,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2361
287.16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1529
285.45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,963
284.63,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,506
283.47,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,321
281.18,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,273
281.09,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,367
279.53,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,814
278.62,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2718
278.23,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5673
278.12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6511
282.48,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5471
291.97,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5097
293.23,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4887
294.31,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5337
295.17,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5692
295.13,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6137
293.66,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4623
290.65,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3591
288.19,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2898
287.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2637
286.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1777
285.26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1015
284.55,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,598
283.47,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,369
283.17,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,312
282.04,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,367
281.69,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,835
281.32,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2726
280.74,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5689
280.57,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6990
281.86,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5985
284.98,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5309
289.18,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4603
291.55,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4884
294.97,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5104
296.38,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5178
297.32,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5501
298.17,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5713
298.06,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6292
297.67,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6057
296.36,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4907
293.85,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3503
292.43,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3037
291.77,75,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2822
291.36,75,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1992
291.12,75,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1166
290.63,75,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,627
290.46,40,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,388
289.26,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,368
283.21,75,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2489
282.24,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5537
281.69,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6628
280.57,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5534
280.02,75,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5403
280.11,75,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4770
280.0,90,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5217
280.53,90,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5870
281.43,75,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5967
281.78,90,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6108
281.91,90,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6128
281.73,90,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6069
281.42,90,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6169
280.87,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5384
280.15,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4063
279.78,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3364
279.65,75,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2971
279.22,40,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2450
279.06,40,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1832
278.81,90,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1231
278.55,90,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,718
278.59,90,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,545
276.99,75,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,411
